NULL,NULL,NULL,"Afar",0,"aa"
NULL,NULL,NULL,"Abkhazian",0,"ab"
NULL,NULL,NULL,"Afrikaans",0,"af"
NULL,NULL,NULL,"Akan",0,"ak"
NULL,NULL,NULL,"Albanian",0,"sq"
NULL,NULL,NULL,"Amharic",0,"am"
NULL,NULL,NULL,"Arabic",0,"ar"
NULL,NULL,NULL,"Aragonese",0,"an"
NULL,NULL,NULL,"Armenian",0,"hy"
NULL,NULL,NULL,"Assamese",0,"as"
NULL,NULL,NULL,"Avaric",0,"av"
NULL,NULL,NULL,"Avestan",0,"ae"
NULL,NULL,NULL,"Aymara",0,"ay"
NULL,NULL,NULL,"Azerbaijani",0,"az"
NULL,NULL,NULL,"Bashkir",0,"ba"
NULL,NULL,NULL,"Bambara",0,"bm"
NULL,NULL,NULL,"Basque",0,"eu"
NULL,NULL,NULL,"Belarusian",0,"be"
NULL,NULL,NULL,"Bengali",0,"bn"
NULL,NULL,NULL,"Bihari languages",0,"bh"
NULL,NULL,NULL,"Bislama",0,"bi"
NULL,NULL,NULL,"Tibetan",0,"bo"
NULL,NULL,NULL,"Bosnian",0,"bs"
NULL,NULL,NULL,"Breton",0,"br"
NULL,NULL,NULL,"Bulgarian",0,"bg"
NULL,NULL,NULL,"Burmese",0,"my"
NULL,NULL,NULL,"Catalan; Valencian",0,"ca"
NULL,NULL,NULL,"Czech",0,"cs"
NULL,NULL,NULL,"Chamorro",0,"ch"
NULL,NULL,NULL,"Chechen",0,"ce"
NULL,NULL,NULL,"Chinese",0,"zh"
NULL,NULL,NULL,"Church Slavic; Old Slavonic",0,"cu"
NULL,NULL,NULL,"Chuvash",0,"cv"
NULL,NULL,NULL,"Cornish",0,"kw"
NULL,NULL,NULL,"Corsican",0,"co"
NULL,NULL,NULL,"Cree",0,"cr"
NULL,NULL,NULL,"Welsh",0,"cy"
NULL,NULL,NULL,"Czech",0,"cs"
NULL,NULL,NULL,"Danish",0,"da"
NULL,NULL,NULL,"German",0,"de"
NULL,NULL,NULL,"Divehi; Dhivehi; Maldivian",0,"dv"
NULL,NULL,NULL,"Dutch; Flemish",0,"nl"
NULL,NULL,NULL,"Dzongkha",0,"dz"
NULL,NULL,NULL,"Greek, Modern (1453-)",0,"el"
NULL,NULL,NULL,"English", 1, "en"
NULL,NULL,NULL,"Esperanto",0,"eo"
NULL,NULL,NULL,"Estonian",0,"et"
NULL,NULL,NULL,"Basque",0,"eu"
NULL,NULL,NULL,"Ewe",0,"ee"
NULL,NULL,NULL,"Faroese",0,"fo"
NULL,NULL,NULL,"Persian",0,"fa"
NULL,NULL,NULL,"Fijian",0,"fj"
NULL,NULL,NULL,"Finnish",0,"fi"
NULL,NULL,NULL,"French", 1, "fr"
NULL,NULL,NULL,"Western Frisian",0,"fy"
NULL,NULL,NULL,"Fulah",0,"ff"
NULL,NULL,NULL,"Georgian",0,"ka"
NULL,NULL,NULL,"German",0,"de"
NULL,NULL,NULL,"Gaelic; Scottish Gaelic",0,"gd"
NULL,NULL,NULL,"Irish",0,"ga"
NULL,NULL,NULL,"Galician",0,"gl"
NULL,NULL,NULL,"Manx",0,"gv"
NULL,NULL,NULL,"Greek, Modern (1453-)",0,"el"
NULL,NULL,NULL,"Guarani",0,"gn"
NULL,NULL,NULL,"Gujarati",0,"gu"
NULL,NULL,NULL,"Haitian; Haitian Creole",0,"ht"
NULL,NULL,NULL,"Hausa",0,"ha"
NULL,NULL,NULL,"Hebrew",0,"he"
NULL,NULL,NULL,"Herero",0,"hz"
NULL,NULL,NULL,"Hindi",0,"hi"
NULL,NULL,NULL,"Hiri Motu",0,"ho"
NULL,NULL,NULL,"Croatian",0,"hr"
NULL,NULL,NULL,"Hungarian",0,"hu"
NULL,NULL,NULL,"Armenian",0,"hy"
NULL,NULL,NULL,"Igbo",0,"ig"
